Trial,Parameter,Value,Average Train Loss,Average Validation Loss
15,number epochs,100,5.545496096611023,5.152901344299316
16,learning_rate,0.1,5.323402598698934,5.054373168945313
16,momentum,0.7,5.323402598698934,5.054373168945313
16,weight_decay,0.01,5.323402598698934,5.054373168945313
16,number epochs,150,5.323402598698934,5.054373168945313
17,learning_rate,0.001,5.799945933024088,5.700296869277954
17,momentum,0.5,5.799945933024088,5.700296869277954
17,weight_decay,0.005,5.799945933024088,5.700296869277954
17,number epochs,150,5.799945933024088,5.700296869277954
18,learning_rate,1e-05,6.103373693466186,5.767871482849121
18,momentum,0.05,6.103373693466186,5.767871482849121
18,weight_decay,0.1,6.103373693466186,5.767871482849121
18,number epochs,250,6.103373693466186,5.767871482849121
19,learning_rate,0.001,6.125964851379394,5.903924436569214
19,momentum,0.95,6.125964851379394,5.903924436569214
19,weight_decay,0.01,6.125964851379394,5.903924436569214
19,number epochs,50,6.125964851379394,5.903924436569214
20,learning_rate,0.1,5.583812358379364,5.211159133911133
20,momentum,0.7,5.583812358379364,5.211159133911133
20,weight_decay,0.0005,5.583812358379364,5.211159133911133
20,number epochs,200,5.583812358379364,5.211159133911133
21,learning_rate,1e-05,5.5094482660293576,5.384125876426697
21,momentum,1,5.5094482660293576,5.384125876426697
21,weight_decay,0.0005,5.5094482660293576,5.384125876426697
21,number epochs,100,5.5094482660293576,5.384125876426697
22,learning_rate,0.0001,6.103032117843628,5.858243305206299
22,momentum,0.7,6.103032117843628,5.858243305206299
22,weight_decay,0.0005,6.103032117843628,5.858243305206299
22,number epochs,250,6.103032117843628,5.858243305206299
23,learning_rate,1e-05,5.8350202713012695,5.432508474349976
23,momentum,0.95,5.8350202713012695,5.432508474349976
23,weight_decay,0.1,5.8350202713012695,5.432508474349976
23,number epochs,250,5.8350202713012695,5.432508474349976
24,learning_rate,0.01,5.766908094882965,5.391672048568726
24,momentum,0.95,5.766908094882965,5.391672048568726
24,weight_decay,0.1,5.766908094882965,5.391672048568726
24,number epochs,200,5.766908094882965,5.391672048568726
25,learning_rate,0.01,5.507583765983582,5.130700242519379
25,momentum,0.3,5.507583765983582,5.130700242519379
25,weight_decay,0.005,5.507583765983582,5.130700242519379
